,cell,original_clone,agg_clone
139,CRC11_PT1_465,2,crc11_clone0
140,CRC11_PT1_466,0,crc11_clone0
141,CRC11_PT1_467,0,crc11_clone0
142,CRC11_PT1_468,0,crc11_clone0
143,CRC11_PT1_469,0,crc11_clone0
144,CRC11_PT1_470,2,crc11_clone0
145,CRC11_PT1_471,0,crc11_clone0
146,CRC11_PT1_472,0,crc11_clone0
147,CRC11_PT1_533,0,crc11_clone0
148,CRC11_PT1_534,0,crc11_clone0
149,CRC11_PT1_536,0,crc11_clone0
150,CRC11_PT1_537,2,crc11_clone0
151,CRC11_PT1_540,0,crc11_clone0
152,CRC11_PT1_541,0,crc11_clone0
153,CRC11_PT1_542,0,crc11_clone0
154,CRC11_PT2_475,1,crc11_clone1
155,CRC11_PT2_479,1,crc11_clone1
156,CRC11_PT2_480,1,crc11_clone1
157,CRC11_PT2_481,1,crc11_clone1
158,CRC11_PT2_485,1,crc11_clone1
159,CRC11_PT2_486,1,crc11_clone1
160,CRC11_PT2_488,1,crc11_clone1
161,CRC11_PT2_494,1,crc11_clone1
162,CRC11_PT2_495,1,crc11_clone1
163,CRC11_PT2_504,1,crc11_clone1
164,CRC11_PT2_506,1,crc11_clone1
165,CRC11_PT2_508,1,crc11_clone1
166,CRC11_PT2_525,1,crc11_clone1
167,CRC11_PT2_528,1,crc11_clone1
168,CRC11_PT3_749,0,crc11_clone0
169,CRC11_PT3_751,2,crc11_clone0
170,CRC11_PT3_753,0,crc11_clone0
171,CRC11_PT3_754,0,crc11_clone0
172,CRC11_PT3_755,0,crc11_clone0
173,CRC11_PT3_756,0,crc11_clone0
174,CRC11_PT3_757,0,crc11_clone0
175,CRC11_PT3_758,0,crc11_clone0
176,CRC11_PT3_759,0,crc11_clone0
177,CRC11_PT3_760,0,crc11_clone0
178,CRC11_PT3_761,0,crc11_clone0
179,CRC11_PT3_762,0,crc11_clone0
180,CRC11_PT3_764,0,crc11_clone0
181,CRC11_PT3_765,0,crc11_clone0
182,CRC11_PT3_767,0,crc11_clone0
183,CRC11_PT3_768,0,crc11_clone0
184,CRC11_PT3_769,0,crc11_clone0
185,CRC11_PT3_770,0,crc11_clone0
186,CRC11_PT3_771,0,crc11_clone0
187,CRC11_PT3_773,0,crc11_clone0
188,CRC11_PT3_774,0,crc11_clone0
189,CRC11_PT3_775,0,crc11_clone0
190,CRC11_PT3_776,0,crc11_clone0
191,CRC11_PT3_779,0,crc11_clone0
192,CRC11_PT3_780,0,crc11_clone0
193,CRC11_PT3_781,1,crc11_clone1
194,CRC11_PT3_782,0,crc11_clone0
195,CRC11_PT3_783,0,crc11_clone0
196,CRC11_PT3_785,0,crc11_clone0
197,CRC11_PT3_786,0,crc11_clone0
198,CRC11_PT3_787,1,crc11_clone1
199,CRC11_PT3_788,0,crc11_clone0
200,CRC11_PT3_789,0,crc11_clone0
201,CRC11_PT3_790,0,crc11_clone0
202,CRC11_PT3_791,0,crc11_clone0
203,CRC11_PT3_792,0,crc11_clone0
204,CRC11_PT3_793,0,crc11_clone0
205,CRC11_PT3_794,0,crc11_clone0
206,CRC11_PT3_795,0,crc11_clone0
207,CRC11_PT3_796,0,crc11_clone0
208,CRC11_PT4_701,2,crc11_clone0
209,CRC11_PT4_702,0,crc11_clone0
210,CRC11_PT4_703,0,crc11_clone0
211,CRC11_PT4_704,0,crc11_clone0
212,CRC11_PT4_705,2,crc11_clone0
213,CRC11_PT4_706,0,crc11_clone0
214,CRC11_PT4_707,0,crc11_clone0
215,CRC11_PT4_708,2,crc11_clone0
216,CRC11_PT4_710,2,crc11_clone0
217,CRC11_PT4_711,0,crc11_clone0
218,CRC11_PT4_712,2,crc11_clone0
219,CRC11_PT4_713,0,crc11_clone0
220,CRC11_PT4_714,2,crc11_clone0
221,CRC11_PT4_715,2,crc11_clone0
222,CRC11_PT4_716,2,crc11_clone0
223,CRC11_PT4_717,0,crc11_clone0
224,CRC11_PT4_718,0,crc11_clone0
225,CRC11_PT4_719,0,crc11_clone0
226,CRC11_PT4_720,0,crc11_clone0
227,CRC11_PT4_721,0,crc11_clone0
228,CRC11_PT4_722,0,crc11_clone0
229,CRC11_PT4_723,0,crc11_clone0
230,CRC11_PT4_724,2,crc11_clone0
231,CRC11_PT4_725,0,crc11_clone0
232,CRC11_PT4_726,0,crc11_clone0
233,CRC11_PT4_727,0,crc11_clone0
234,CRC11_PT4_728,0,crc11_clone0
235,CRC11_PT4_730,0,crc11_clone0
236,CRC11_PT4_731,2,crc11_clone0
237,CRC11_PT4_732,2,crc11_clone0
238,CRC11_PT4_733,0,crc11_clone0
239,CRC11_PT4_734,0,crc11_clone0
240,CRC11_PT4_735,0,crc11_clone0
241,CRC11_PT4_737,2,crc11_clone0
242,CRC11_PT4_739,0,crc11_clone0
243,CRC11_PT4_740,0,crc11_clone0
244,CRC11_PT4_741,0,crc11_clone0
245,CRC11_PT4_742,1,crc11_clone1
246,CRC11_PT4_746,2,crc11_clone0
247,CRC11_PT4_747,2,crc11_clone0
248,CRC11_PT4_748,2,crc11_clone0
249,CRC04_LN1_349,0,crc04_clone0
250,CRC04_LN1_350,0,crc04_clone0
251,CRC04_LN1_351,0,crc04_clone0
252,CRC04_LN1_352,0,crc04_clone0
253,CRC04_LN1_353,0,crc04_clone0
254,CRC04_LN1_354,0,crc04_clone0
255,CRC04_LN1_355,0,crc04_clone0
256,CRC04_LN1_356,0,crc04_clone0
257,CRC04_LN1_357,0,crc04_clone0
258,CRC04_LN1_358,0,crc04_clone0
259,CRC04_LN1_360,0,crc04_clone0
260,CRC04_LN1_361,0,crc04_clone0
261,CRC04_LN1_362,0,crc04_clone0
262,CRC04_LN1_363,0,crc04_clone0
263,CRC04_LN1_364,0,crc04_clone0
264,CRC04_LN1_377,0,crc04_clone0
265,CRC04_LN1_378,0,crc04_clone0
266,CRC04_LN1_380,0,crc04_clone0
267,CRC04_LN1_381,0,crc04_clone0
268,CRC04_LN1_401,0,crc04_clone0
269,CRC04_LN1_402,0,crc04_clone0
270,CRC04_LN1_403,0,crc04_clone0
271,CRC04_LN2_465,0,crc04_clone0
272,CRC04_LN2_468,0,crc04_clone0
273,CRC04_LN2_469,0,crc04_clone0
274,CRC04_LN2_476,0,crc04_clone0
275,CRC04_LN2_477,0,crc04_clone0
276,CRC04_LN2_480,0,crc04_clone0
277,CRC04_LN2_481,0,crc04_clone0
278,CRC04_LN2_483,0,crc04_clone0
279,CRC04_LN2_484,0,crc04_clone0
280,CRC04_LN2_485,0,crc04_clone0
281,CRC04_LN2_486,0,crc04_clone0
282,CRC04_LN2_491,0,crc04_clone0
283,CRC04_LN2_492,0,crc04_clone0
284,CRC04_NC_297,2,crc04_clone2
285,CRC04_NC_301,2,crc04_clone2
286,CRC04_NC_303,2,crc04_clone2
287,CRC04_NC_304,2,crc04_clone2
288,CRC04_NC_305,2,crc04_clone2
289,CRC04_NC_306,2,crc04_clone2
290,CRC04_NC_307,2,crc04_clone2
291,CRC04_NC_310,2,crc04_clone2
292,CRC04_NC_311,2,crc04_clone2
293,CRC04_NC_312,2,crc04_clone2
294,CRC04_NC_313,2,crc04_clone2
295,CRC04_NC_315,2,crc04_clone2
296,CRC04_NC_317,2,crc04_clone2
297,CRC04_PT1_596,1,crc04_clone1
298,CRC04_PT2_533,1,crc04_clone1
299,CRC04_PT2_534,1,crc04_clone1
300,CRC04_PT2_537,1,crc04_clone1
301,CRC04_PT2_540,1,crc04_clone1
302,CRC04_PT2_541,1,crc04_clone1
303,CRC04_PT2_543,1,crc04_clone1
304,CRC04_PT2_544,1,crc04_clone1
305,CRC04_PT2_546,1,crc04_clone1
306,CRC04_PT2_548,1,crc04_clone1
307,CRC04_PT2_549,1,crc04_clone1
308,CRC04_PT2_551,1,crc04_clone1
309,CRC04_PT2_552,1,crc04_clone1
310,CRC04_PT2_559,1,crc04_clone1
311,CRC04_PT2_561,1,crc04_clone1
312,CRC04_PT2_562,1,crc04_clone1
313,CRC04_PT2_563,1,crc04_clone1
314,CRC04_PT2_564,1,crc04_clone1
315,CRC04_PT3_742,1,crc04_clone1
316,CRC04_PT3_755,1,crc04_clone1
317,CRC04_PT4_509,3,crc04_clone3
318,CRC04_PT4_515,3,crc04_clone3
319,CRC04_PT4_516,3,crc04_clone3
320,CRC04_PT4_517,1,crc04_clone1
321,CRC04_PT4_526,1,crc04_clone1
322,CRC04_PT4_531,3,crc04_clone3
323,CRC04_PT5_701,1,crc04_clone1
