,predict,cell
CRC10_PT3_115,0,CRC10_PT3_115
CRC10_LN1_039,0,CRC10_LN1_039
CRC10_PT3_136,0,CRC10_PT3_136
CRC10_PT3_112,1,CRC10_PT3_112
CRC10_LN1_030,0,CRC10_LN1_030
CRC10_LN1_024,2,CRC10_LN1_024
CRC10_LN1_025,0,CRC10_LN1_025
CRC10_LN1_031,0,CRC10_LN1_031
CRC10_PT3_124,0,CRC10_PT3_124
CRC10_PT4_745,0,CRC10_PT4_745
CRC10_PT3_106,0,CRC10_PT3_106
CRC10_LN1_018,0,CRC10_LN1_018
CRC10_PT3_128,0,CRC10_PT3_128
CRC10_LN1_014,0,CRC10_LN1_014
CRC10_PT3_117,0,CRC10_PT3_117
CRC10_PT3_140,1,CRC10_PT3_140
CRC10_PT3_111,0,CRC10_PT3_111
CRC10_LN1_046,0,CRC10_LN1_046
CRC10_PT3_118,0,CRC10_PT3_118
CRC10_PT3_145,1,CRC10_PT3_145
CRC10_LN1_028,1,CRC10_LN1_028
CRC10_PT3_108,1,CRC10_PT3_108
CRC10_LN1_033,0,CRC10_LN1_033
CRC10_LN1_026,0,CRC10_LN1_026
CRC10_LN1_044,0,CRC10_LN1_044
CRC10_PT1_156,1,CRC10_PT1_156
CRC10_LN1_047,2,CRC10_LN1_047
CRC10_LN1_015,0,CRC10_LN1_015
CRC10_LN3_073,0,CRC10_LN3_073
CRC10_PT3_119,0,CRC10_PT3_119
CRC10_PT3_126,0,CRC10_PT3_126
CRC10_PT3_122,0,CRC10_PT3_122
CRC10_LN1_048,0,CRC10_LN1_048
CRC10_PT3_138,1,CRC10_PT3_138
CRC10_LN1_017,2,CRC10_LN1_017
CRC10_LN1_041,0,CRC10_LN1_041
CRC10_PT3_113,1,CRC10_PT3_113
CRC10_LN1_035,0,CRC10_LN1_035
CRC10_PT3_127,1,CRC10_PT3_127
CRC10_LN1_006,0,CRC10_LN1_006
CRC10_LN1_011,0,CRC10_LN1_011
CRC10_LN1_029,2,CRC10_LN1_029
CRC10_LN3_070,0,CRC10_LN3_070
CRC10_LN1_007,2,CRC10_LN1_007
CRC10_LN1_004,0,CRC10_LN1_004
CRC10_LN1_003,2,CRC10_LN1_003
CRC10_LN1_010,2,CRC10_LN1_010
CRC10_LN1_008,2,CRC10_LN1_008
CRC10_PT3_141,0,CRC10_PT3_141
CRC10_PT4_740,0,CRC10_PT4_740
CRC10_PT3_130,0,CRC10_PT3_130
CRC10_LN1_021,0,CRC10_LN1_021
CRC10_PT3_125,0,CRC10_PT3_125
CRC10_PT1_155,0,CRC10_PT1_155
CRC10_PT3_107,0,CRC10_PT3_107
CRC10_LN1_038,0,CRC10_LN1_038
CRC10_PT4_738,1,CRC10_PT4_738
CRC10_LN1_019,0,CRC10_LN1_019
CRC10_PT1_160,0,CRC10_PT1_160
CRC10_PT3_135,0,CRC10_PT3_135
CRC10_PT1_175,2,CRC10_PT1_175
CRC10_PT3_133,0,CRC10_PT3_133
CRC10_PT3_137,0,CRC10_PT3_137
CRC10_PT3_142,0,CRC10_PT3_142
CRC10_LN1_037,0,CRC10_LN1_037
CRC10_PT3_109,0,CRC10_PT3_109
CRC10_PT3_110,0,CRC10_PT3_110
CRC10_LN1_042,2,CRC10_LN1_042
CRC10_LN1_016,0,CRC10_LN1_016
