"","predict","cell"
"1","0","CRC10_PT3_126"
"2","0","CRC10_LN1_030"
"3","0","CRC10_LN1_042"
"4","0","CRC10_PT3_103"
"5","1","CRC10_LN1_006"
"6","0","CRC10_PT3_107"
"7","0","CRC10_PT3_145"
"8","0","CRC10_PT3_141"
"9","1","CRC10_PT3_109"
"10","1","CRC10_LN1_041"
"11","1","CRC10_PT4_738"
"12","1","CRC10_LN1_003"
"13","0","CRC10_PT3_118"
"14","1","CRC10_LN1_039"
"15","1","CRC10_PT3_105"
"16","1","CRC10_PT3_114"
"17","1","CRC10_LN1_035"
"18","1","CRC10_LN1_017"
"19","0","CRC10_LN1_046"
"20","0","CRC10_PT3_138"
"21","0","CRC10_LN1_011"
"22","1","CRC10_LN1_019"
"23","0","CRC10_LN1_026"
"24","0","CRC10_LN1_008"
"25","0","CRC10_PT3_111"
"26","0","CRC10_PT3_119"
"27","0","CRC10_LN1_028"
"28","0","CRC10_LN2_287"
"29","0","CRC10_LN1_044"
"30","0","CRC10_LN1_029"
"31","0","CRC10_PT3_125"
"32","0","CRC10_PT4_740"
"33","0","CRC10_LN1_016"
"34","0","CRC10_LN3_070"
"35","0","CRC10_PT3_122"
"36","0","CRC10_PT3_127"
"37","1","CRC10_PT3_110"
"38","1","CRC10_LN1_047"
"39","0","CRC10_LN1_024"
"40","0","CRC10_PT3_104"
"41","0","CRC10_LN1_040"
"42","1","CRC10_LN1_014"
"43","1","CRC10_PT3_128"
"44","1","CRC10_LN1_010"
"45","0","CRC10_LN1_033"
"46","0","CRC10_PT1_154"
"47","0","CRC10_PT4_745"
"48","1","CRC10_PT3_147"
"49","0","CRC10_LN1_015"
"50","0","CRC10_LN1_038"
"51","0","CRC10_PT4_748"
"52","1","CRC10_PT3_115"
"53","0","CRC10_LN1_031"
"54","0","CRC10_PT3_106"
"55","1","CRC10_PT3_101"
"56","0","CRC10_PT3_113"
"57","0","CRC10_PT3_124"
"58","0","CRC10_PT3_140"
"59","1","CRC10_PT1_165"
"60","0","CRC10_LN1_021"
"61","0","CRC10_LN1_018"
"62","0","CRC10_PT3_117"
"63","0","CRC10_PT3_112"
"64","0","CRC10_LN1_048"
"65","0","CRC10_PT3_108"
"66","0","CRC10_PT3_131"
"67","0","CRC10_LN3_073"
"68","1","CRC10_LN1_007"
"69","0","CRC10_PT3_137"
"70","0","CRC10_LN1_025"
"71","0","CRC10_PT3_102"
"72","1","CRC10_PT1_160"
"73","1","CRC10_PT1_155"
"74","1","CRC10_PT1_156"
"75","0","CRC10_PT3_135"
"76","0","CRC10_PT3_133"
"77","1","CRC10_PT3_136"
"78","1","CRC10_PT1_175"
"79","0","CRC10_PT1_157"
"80","0","CRC10_PT2_244"
"81","1","CRC10_LN1_004"
"82","0","CRC10_PT3_148"
"83","0","CRC10_PT3_130"
"84","1","CRC10_LN1_037"
"85","1","CRC10_PT3_142"
